X,Y,FID,OBJECTID,NOMBRE,TIPO_DE_SE,DIRECCION,POBLACION,PROVINCIA,COD_POSTAL,COD_INE,TITULAR,TELEFONO_1,TELEFONO_2,EMAIL_1,EMAIL_2,SymbolID
-1.85448995884623,38.9856200053637,1,1,Aulas de Familia Albacete,Aula de familia,"Calle Tetuan, 8",Albacete,Albacete,2002,2003,Junta de Comunidades de Castilla-La Mancha,656768008,656776168,aulas.albacete@actialsocial.org, , 
-1.85497996468086,38.9857800158602,2,2,"Programa ""Tú Cuentas"" de Prevención e Intervención en Situaciones de Acoso y Ciberacoso en Menores Albacete",Prevención e intervención en acoso y ciberacoso de menores,"Calle Ejército,  6",Albacete,Albacete,2002,2003,Junta de Comunidades de Castilla-La Mancha,619149589,0,albacete-acoso@amformad.es, , 
-1.85448995884623,38.9856200053637,3,3,Programa Promoviendo la Convivencia Albacete,"Programa ""Promoviendo la convivencia""","Calle Tetuán, 8",Albacete,Albacete,2002,2003,Junta de Comunidades de Castilla-La Mancha,683251563,0,prevencionalbacete@diagrama.org, , 
-1.85448995884623,38.9856200053637,4,4,Programa Vínculos en el Acogimiento Familiar Albacete,Acogimiento familiar,"Calle Tetuan, 8",Albacete,Albacete,2002,2003,Junta de Comunidades de Castilla-La Mancha,967216341,681030709,programavinculosab@acofam.com, , 
-1.86093002603385,38.9874600012459,5,5,Programa de Autonomía Personal y Preparación a la Vida Independiente Albacete,Autonomía personal y preparación a la vida independiente,"Calle Rosario, 113 - 1º B",Albacete,Albacete,2003,2003,Junta de Comunidades de Castilla-La Mancha,967212952,670347236,albacete.rgm@accem.es, , 
-1.86861464077565,39.0052399998934,6,6,"Programa ""Revelas"" de Prevención e Intervención en Abuso Sexual Infantil Albacete",Prevención e intervención en abuso sexual infantil,"Pasaje de la Metereología, s/n",Albacete,Albacete,2005,2003,Junta de Comunidades de Castilla-La Mancha,691732962,0,albacete-revelas@amformad.es,albacetejr.revelas@amformad.es, 
-1.85785667924108,39.0012786780896,7,7,Programa Apoyarte,"Programa ""Apoyarte""","Pasaje San Valentin, 1",Albacete,Albacete,2005,2003,Junta de Comunidades de Castilla-La Mancha,645766904,0,apoyarteclm@fundacionatenea.org, , 
-1.85785667924108,39.0012786780896,8,8,"Programa de Prevención de Adicciones ""Tú Controlas""",Prevención de adicciones,"Pasaje San Valentin, 1",Albacete,Albacete,2005,2003,Junta de Comunidades de Castilla-La Mancha,645767886,0,tucontrolas@fundacionatenea.org, , 
-1.86861464077565,39.0052399998934,9,9,Programa de Prevención e Intervención en Violencia Familiar Albacete,Prevención e intervención en violencia familiar,"Pasaje de la Meteorología, s/n",Albacete,Albacete,2005,2003,Junta de Comunidades de Castilla-La Mancha,967245417,657543619,albacete@amformad.es, , 
-1.85552001116846,38.9993999798051,10,10,Servicio de Postadopción Albacete,Postadopción,"Calle Carmen, 45. Bajo 02005 Albacete",Albacete,Albacete,2005,2003,Junta de Comunidades de Castilla-La Mancha,967512588,0,oscar.postadopcion @asociacionasico.es, , 
-1.84436998441971,38.9950799888557,11,11,Programa de Mediación y Orientación Familiar Albacete,Mediación y orientación familiar,"Calle Vasco Núñez de Balboa, 7 al 13",Albacete,Albacete,2008,2003,Junta de Comunidades de Castilla-La Mancha,967193585,0,amifamab@yahoo.es, , 
-1.84436998441971,38.9950799888557,12,12,Punto de Encuentro Familiar Albacete,Punto de encuentro familiar,"Calle Vasco Núñez de Balboa, 7 al 13",Albacete,Albacete,2008,2003,Junta de Comunidades de Castilla-La Mancha,967193538,0,pefalbacete@yahoo.es, , 
